income,stkl,bmfVfrbRemote,bmfWvfrbRemote,bmfTaxRemote,bmfVfrbLocal,bmfWvfrbLocal,bmfTaxLocal,bmfVfrbHttp,bmfWvfrbHttp,bmfTaxHttp,ourVfrb,ourWvfrb,ourZtabfb,ourVsp,ourZre4vp,ourVspRenten,ourVspKrankenPflege,ourVspArbeitslosen,ourVsphb,ourVspn,ourZve,ourBaseTax,ourSolz,ourChurch,ourTax
20000,1,,,,,,,,,,1230,2626,1266,3760,20000,1860,1760,260,1900,3760,14974,430,0,0,430
20000,2,,,,,,,,,,1230,0,5526,3760,20000,1860,1760,260,1900,3760,10714,0,0,0,0
20000,3,,,,,,,,,,1230,2626,1266,3760,20000,1860,1760,260,1900,3760,14974,0,0,0,0
20000,4,,,,,,,,,,1230,2626,1266,3760,20000,1860,1760,260,1900,3760,14974,430,0,0,430
40000,1,,,,,,,,,,1230,19146,1266,7240,40000,3720,3520,520,1900,5620,31494,4642,0,0,4642
40000,2,,,,,,,,,,1230,14886,5526,7240,40000,3720,3520,520,1900,5620,27234,3450,0,0,3450
40000,3,,,,,,,,,,1230,19146,1266,7240,40000,3720,3520,520,1900,5620,31494,1162,0,0,1162
40000,4,,,,,,,,,,1230,19146,1266,7240,40000,3720,3520,520,1900,5620,31494,4642,0,0,4642
60000,1,,,,,,,,,,1230,35526,1266,10860,60000,5580,5280,780,1900,7480,47874,9809,0,0,9809
60000,2,,,,,,,,,,1230,31266,5526,10860,60000,5580,5280,780,1900,7480,43614,8376,0,0,8376
60000,3,,,,,,,,,,1230,35526,1266,10860,60000,5580,5280,780,1900,7480,47874,5142,0,0,5142
60000,4,,,,,,,,,,1230,35526,1266,10860,60000,5580,5280,780,1900,7480,47874,9809,0,0,9809
100000,1,,,,,,,,,,1230,70948,1266,15438,100000,9300,6138,1300,1900,11200,83296,23848,0,0,23848
100000,2,,,,,,,,,,1230,66688,5526,15438,100000,9300,6138,1300,1900,11200,79036,22059,0,0,22059
100000,3,,,,,,,,,,1230,70948,1266,15438,100000,9300,6138,1300,1900,11200,83296,15472,0,0,15472
100000,4,,,,,,,,,,1230,70948,1266,15438,100000,9300,6138,1300,1900,11200,83296,23848,0,0,23848