income,stkl,source,bmfVfrb,bmfWvfrb,bmfTax,ourVfrb,ourWvfrb,ourBaseTax,ourTax
20000,1,bmf-remote,1230,2878,480,1230,2878,480,480
20000,2,bmf-remote,1230,0,0,1230,0,0,0
20000,3,bmf-remote,1230,2378,0,1230,2378,0,0
20000,4,bmf-remote,1230,2878,480,1230,2878,480,480
40000,1,bmf-remote,1230,19398,4731,1230,19398,4731,4731
40000,2,bmf-remote,1230,15138,3531,1230,15138,3531,3531
40000,3,bmf-remote,1230,19398,1270,1230,19398,1270,1270
40000,4,bmf-remote,1230,19398,4731,1230,19398,4731,4731
60000,1,bmf-remote,1230,35778,9945,1230,35778,9945,9945
60000,2,bmf-remote,1230,31518,8498,1230,31518,8498,8498
60000,3,bmf-remote,1230,35778,5292,1230,35778,5292,5292
60000,4,bmf-remote,1230,35778,9945,1230,35778,9945,9945
100000,1,bmf-remote,1230,71833,24338,1230,71833,24338,24338
100000,2,bmf-remote,1230,67573,22549,1230,67573,22549,22549
100000,3,bmf-remote,1230,71833,15908,1230,71833,15908,15908
100000,4,bmf-remote,1230,71833,24338,1230,71833,24338,24338